neighborhood_id,neighborhood_display,country
buenosaires-palermo-soho,"Palermo Soho, Buenos Aires",Argentina
buenosaires-puerto-madero,"Puerto Madero, Buenos Aires",Argentina
buenosaires-recoleta,"Recoleta, Buenos Aires",Argentina
melbourne-fitzroy,"Fitzroy, Melbourne",Australia
melbourne-south-yarra,"South Yarra, Melbourne",Australia
melbourne-st-kilda,"St Kilda, Melbourne",Australia
melbourne-toorak,"Toorak, Melbourne",Australia
sydney-bondi-beach,"Bondi Beach, Sydney",Australia
sydney-double-bay,"Double Bay, Sydney",Australia
sydney-mosman,"Mosman, Sydney",Australia
sydney-paddington,"Paddington, Sydney",Australia
sydney-point-piper,"Point Piper, Sydney",Australia
sydney-surry-hills,"Surry Hills, Sydney",Australia
sydney-vaucluse,"Vaucluse, Sydney",Australia
sydney-woollahra,"Woollahra, Sydney",Australia
brussels-ixelles,"Ixelles, Brussels",Belgium
rio-ipanema,"Ipanema, Rio de Janeiro",Brazil
rio-leblon,"Leblon, Rio de Janeiro",Brazil
saopaulo-itaim-bibi,"Itaim Bibi, São Paulo",Brazil
saopaulo-jardim-europa,"Jardim Europa, São Paulo",Brazil
saopaulo-vila-madalena,"Vila Madalena, São Paulo",Brazil
montreal-westmount,"Westmount, Montreal",Canada
toronto-distillery,"Distillery District, Toronto",Canada
toronto-queen-west,"Queen West, Toronto",Canada
toronto-rosedale,"Rosedale, Toronto",Canada
toronto-yorkville,"Yorkville, Toronto",Canada
vancouver-kitsilano,"Kitsilano, Vancouver",Canada
vancouver-point-grey,"Point Grey, Vancouver",Canada
vancouver-west-vancouver,"West Vancouver, Vancouver",Canada
santiago-vitacura,"Vitacura, Santiago",Chile
beijing-sanlitun,"Sanlitun, Beijing",China
shanghai-french-concession,"French Concession, Shanghai",China
shanghai-jingan,"Jing'an, Shanghai",China
shanghai-xintiandi,"Xintiandi, Shanghai",China
medellin-el-poblado,"El Poblado, Medellín",Colombia
copenhagen-christianshavn,"Christianshavn, Copenhagen",Denmark
copenhagen-frederiksberg,"Frederiksberg, Copenhagen",Denmark
copenhagen-norrebro,"Nørrebro, Copenhagen",Denmark
copenhagen-nyhavn,"Nyhavn, Copenhagen",Denmark
copenhagen-vesterbro,"Vesterbro, Copenhagen",Denmark
cairo-zamalek,"Zamalek, Cairo",Egypt
